,R,G,B,others,Plant,Type,Hours per day, Total Days,PPFD,Fresh weight (g)
3,88.88,0,11.11,,Chinese Kale,3,12,34,120,44.9
,66.66,0,33.33,,Chinese Kale,3,12,34,120,37
5,85,0,15,,Begonia,1,16,59,160,2.2
,85,0,15,,Geranium,1,16,59,160,1.3
,85,0,15,,Snapdragon,1,16,59,160,1
,85,0,15,,petunia,1,16,59,160,0.8
,40,40,20,,Begonia,1,16,59,160,2.54
,40,40,20,,Geranium,1,16,59,160,1.45
,40,40,20,,Snapdragon,1,16,59,160,1.1
,40,40,20,,petunia,1,16,59,160,0.9
7,0,0,100,,Lettuce ,3,12,25,200,3.4
,80,0,20,,Lettuce ,3,12,25,200,32.7
,88.88,0,11.11,,Lettuce ,3,12,25,200,73.78
,92.3,0,7.7,,Lettuce ,3,12,25,200,64.14
,100,0,0,,Lettuce ,3,12,25,200,66.08
,0,0,100,,Lettuce ,3,12,25,200,13.62
,80,0,20,,Lettuce ,3,12,25,200,82.78
,88.88,0,11.11,,Lettuce ,3,12,25,200,118.04
,92.3,0,7.7,,Lettuce ,3,12,25,200,103.86
,100,0,0,,Lettuce ,3,12,25,200,66.33
8,83,0,17,,Lettuce,3,24,35,200,70.85
,91,0,9,,Lettuce,3,24,35,200,78.45
,95,0,5,,Lettuce,3,24,35,200,72.52
,100,0,0,,Lettuce,3,24,35,200,64.82
,83,0,17,,Spinach,3,24,35,200,63.73
,91,0,9,,Spinach,3,24,35,200,68.73
,95,0,5,,Spinach,3,24,35,200,65.25
,100,0,0,,Spinach,3,24,35,200,47.7
,83,0,17,,Kale,3,24,35,200,109.78
,91,0,9,,Kale,3,24,35,200,185.6
,95,0,5,,Kale,3,24,35,200,189.95
,100,0,0,,Kale,3,24,35,200,85.45
,83,0,17,,Basil,3,24,35,200,41.2
,91,0,9,,Basil,3,24,35,200,44.23
,95,0,5,,Basil,3,24,35,200,42.92
,100,0,0,,Basil,3,24,35,200,32.68
,83,0,17,,Sweet pepper,2,24,35,200,650.88
,91,0,9,,Sweet pepper,2,24,35,200,683.89
,95,0,5,,Sweet pepper,2,24,35,200,783.71
,100,0,0,,Sweet pepper,2,24,35,200,620.82
9,16.66,0,83.33,,Lettuce ,3,16,20,90,9.4
,25,0,75,,Lettuce ,3,16,20,90,10.6
,50,0,50,,Lettuce ,3,16,20,90,10.3
,75,0,25,,Lettuce ,3,16,20,90,10.7
,83.33,0,16.66,,Lettuce ,3,16,20,90,10.9
10,66.66,0,33.33,,Lettuce ,3,16,15,200,9.1
,75,0,25,,Lettuce ,3,16,15,200,10
,80,0,20,,Lettuce ,3,16,15,200,9.2
,88.88,0,11.11,,Lettuce ,3,16,15,200,12.4
11,100,0,0,,Red Oakleaf,3,16,42,200,21.51
,80,0,20,,Red Oakleaf,3,16,42,200,20.14
,50,0,50,,Red Oakleaf,3,16,42,200,18.65
,20,0,80,,Red Oakleaf,3,16,42,200,18.55
,0,0,100,,Red Oakleaf,3,16,42,200,22.33
,90,0,10,,lettuce,3,16,15,210,36.93
13,66.66,16.66,16.66,,purple basil,3,12,65,180,24.63
,50,25,25,,purple basil,3,12,65,180,12.68
,33.33,33.33,33.33,,purple basil,3,12,65,180,6.09
,66.66,16.66,16.66,,green basil,3,12,65,180,52.75
,50,25,25,,green basil,3,12,65,180,42.2
,33.33,33.33,33.33,,green basil,3,12,65,180,31.23
15,100,0,0,,potato,2,16,28,100,0.2965
,0,0,100,,potato,2,16,28,100,0.31491
,65,0,35,,potato,2,16,28,100,0.414
,45,20,35,,potato,2,16,28,100,0.4302
18,50,0,50,,lettuce,3,16,20,210,136.3
22,40,30,30,,Brassica chinensis,3,24,30,100,18.54
25,0,0,100,,lettuce,3,24,28,200,4.69
,100,0,0,,lettuce,3,24,28,200,0.2487
26,0,0,100,,Myrtus communis,1,24,42,35,0.2756
,70,0,30,,Myrtus communis,1,24,42,35,0.2385
,100,0,0,,Myrtus communis,1,24,42,35,0.2217
28,24.3,45.3,30.1,,pepper,2,12,36,250,1.8
,35.6,42.9,21.1,,pepper,2,12,36,250,3
,76.9,1,22,,pepper,2,12,36,250,2
,39.2,39.1,20.5,,pepper,2,12,36,250,2.1
31,100,0,0,,vanilla,1,16,60,25,1.4312
,0,0,100,,vanilla,1,16,60,25,1.5312
,50,0,50,,vanilla,1,16,60,25,2.7642
32,30,0,70,,mini chal tomato,2,24,21,200,3.74
,20,20,60,,mini chal tomato,2,24,21,200,3.23
,20,40,40,,mini chal tomato,2,24,21,200,3.45
39,0,0,100,,Chinese kale,3,12,10,0,41.54
,0,0,100,,Chinese kale,3,12,10,50,58.74
,0,0,100,,Chinese kale,3,12,10,100,56.58
,0,0,100,,Chinese kale,3,12,10,150,43.33
40,100,0,0,,Chinese Cabbage,3,12,60,80,5.93
,0,0,100,,Chinese Cabbage,3,12,60,80,6.67
,50,0,50,,Chinese Cabbage,3,12,60,80,5.28
